#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000358	F	F	                  ok	1	462	-4.940000	-0.250000	-4.940000, -0.250000
000000359	F	F	                  ok	0	488	-4.940000	-0.200000	-4.940000, -0.200000
000000360	F	F	                  ok	2	1729	-4.940000	-0.150000	-4.940000, -0.150000


000000362	F	F	                  ok	8	985	-4.940000	-0.050000	-4.940000, -0.050000
000000363	F	F	                  ok	3	1002	-4.940000	0.000000	-4.940000, 0.000000
000000364	F	F	                  ok	9	633	-4.940000	0.050000	-4.940000, 0.050000
000000365	F	F	                  ok	11	770	-4.940000	0.100000	-4.940000, 0.100000
000000366	F	F	                  ok	2	1292	-4.940000	0.150000	-4.940000, 0.150000
000000367	F	F	                  ok	0	2080	-4.940000	0.200000	-4.940000, 0.200000


000000369	F	F	                  ok	6	103	-4.940000	0.300000	-4.940000, 0.300000


000000371	F	F	                  ok	0	288	-4.940000	0.400000	-4.940000, 0.400000
000000372	F	F	                  ok	5	998	-4.940000	0.450000	-4.940000, 0.450000
000000373	F	F	                  ok	0	94	-4.940000	0.500000	-4.940000, 0.500000
000000374	F	F	                  ok	7	1137	-4.940000	0.550000	-4.940000, 0.550000
000000375	F	F	                  ok	3	864	-4.940000	0.600000	-4.940000, 0.600000
000000376	F	F	                  ok	8	365	-4.940000	0.650000	-4.940000, 0.650000
000000377	F	F	                  ok	9	299	-4.940000	0.700000	-4.940000, 0.700000
000000378	F	F	                  ok	5	121	-4.940000	0.750000	-4.940000, 0.750000
000000379	F	F	                  ok	8	171	-4.940000	0.800000	-4.940000, 0.800000
000000380	F	F	                  ok	0	796	-4.940000	0.850000	-4.940000, 0.850000
000000381	F	F	                  ok	4	1336	-4.940000	0.900000	-4.940000, 0.900000
000000382	F	F	                  ok	5	1973	-4.940000	0.950000	-4.940000, 0.950000
000000383	F	F	                  ok	6	229	-4.940000	1.000000	-4.940000, 1.000000
000000384	F	F	                  ok	5	1836	-4.940000	1.050000	-4.940000, 1.050000
