H	H+	C+2	C+3	O+6	Si+2	Si+3
1.34896e+14	1.02489e+22	2.14563e+03	1.08464e+08	9.17435e+13	3.22423e-15	1.07573e-09
1.34896e+14	3.84133e+18	3.73125e+11	5.05695e+12	6.71541e+13	4.89866e+07	2.78627e+09
1.34896e+14	4.17304e+18	3.36678e+11	4.98163e+12	7.61401e+13	4.13797e+07	2.35150e+09
1.34896e+14	4.53589e+18	3.09686e+11	4.89643e+12	8.62274e+13	3.63120e+07	1.97619e+09
1.34896e+14	4.93315e+18	2.94236e+11	4.80152e+12	9.75316e+13	3.36409e+07	1.65251e+09
1.34896e+14	5.36848e+18	2.91805e+11	4.69721e+12	1.10140e+14	3.30319e+07	1.37425e+09
1.34896e+14	5.84608e+18	3.02679e+11	4.58410e+12	1.24099e+14	3.39312e+07	1.13653e+09
1.34896e+14	6.37070e+18	3.25585e+11	4.46307e+12	1.39416e+14	3.56303e+07	9.35384e+08
1.34896e+14	6.94845e+18	3.57702e+11	4.33564e+12	1.56093e+14	3.74106e+07	7.67360e+08
1.34896e+14	7.58695e+18	3.95046e+11	4.20370e+12	1.74174e+14	3.86959e+07	6.29013e+08
1.34896e+14	8.29617e+18	4.33144e+11	4.06959e+12	1.93808e+14	3.91466e+07	5.16711e+08
1.34896e+14	9.08956e+18	4.67790e+11	3.93603e+12	2.15311e+14	3.86638e+07	4.26637e+08
1.34896e+14	9.98507e+18	4.95652e+11	3.80593e+12	2.39197e+14	3.73245e+07	3.54971e+08
1.34896e+14	1.10074e+19	5.14660e+11	3.68250e+12	2.66217e+14	3.53017e+07	2.98176e+08
1.34896e+14	1.21890e+19	5.24018e+11	3.56877e+12	2.97364e+14	3.27995e+07	2.53223e+08
1.34896e+14	1.35721e+19	5.23996e+11	3.46737e+12	3.33890e+14	3.00266e+07	2.17785e+08
1.34896e+14	1.52101e+19	5.15537e+11	3.38027e+12	3.77344e+14	2.71329e+07	1.89905e+08
1.34896e+14	1.71692e+19	4.99805e+11	3.30855e+12	4.29598e+14	2.44169e+07	1.69453e+08
1.34896e+14	1.95304e+19	4.77767e+11	3.25222e+12	4.92884e+14	2.20847e+07	1.56425e+08
1.34896e+14	2.23905e+19	4.49842e+11	3.20970e+12	5.69793e+14	2.03002e+07	1.51480e+08
1.34896e+14	2.58633e+19	4.15773e+11	3.17737e+12	6.63260e+14	1.91538e+07	1.55959e+08
1.34896e+14	3.00818e+19	3.74841e+11	3.14856e+12	7.76523e+14	1.86406e+07	1.72014e+08
1.34896e+14	3.51998e+19	3.26325e+11	3.10963e+12	9.13066e+14	1.86544e+07	2.02752e+08
1.34896e+14	4.13922e+19	2.71560e+11	3.04789e+12	1.07652e+15	1.90077e+07	2.52290e+08
1.34896e+14	4.88587e+19	2.13717e+11	2.94378e+12	1.27059e+15	1.94958e+07	3.25926e+08
1.34896e+14	5.78248e+19	1.57841e+11	2.77855e+12	1.49900e+15	1.99885e+07	4.31016e+08
1.34896e+14	6.85449e+19	1.09113e+11	2.54275e+12	1.76539e+15	2.04778e+07	5.78836e+08
1.34896e+14	8.13076e+19	7.08508e+10	2.24454e+12	2.07335e+15	2.10082e+07	7.85646e+08
1.34896e+14	9.64301e+19	4.36051e+10	1.90988e+12	2.42612e+15	2.15298e+07	1.06900e+09
1.34896e+14	1.14271e+20	2.57703e+10	1.57330e+12	2.82657e+15	2.18213e+07	1.43741e+09
1.34896e+14	1.35228e+20	1.48434e+10	1.26473e+12	3.27673e+15	2.15493e+07	1.87591e+09
1.34896e+14	1.59751e+20	8.45583e+09	1.00199e+12	3.77728e+15	2.04033e+07	2.33332e+09
1.34896e+14	1.88345e+20	4.83096e+09	7.90952e+11	4.32700e+15	1.82202e+07	2.71753e+09
1.34896e+14	2.21539e+20	2.80915e+09	6.30191e+11	4.92164e+15	1.50716e+07	2.90852e+09
1.34896e+14	2.59983e+20	1.69622e+09	5.16181e+11	5.55687e+15	1.13275e+07	2.80485e+09
1.34896e+14	3.04332e+20	1.08091e+09	4.41704e+11	6.22655e+15	7.57999e+06	2.38830e+09
1.34896e+14	3.55290e+20	7.38082e+08	4.00865e+11	6.92464e+15	4.43848e+06	1.76506e+09
1.34896e+14	4.13672e+20	5.43311e+08	3.88169e+11	7.64720e+15	2.24724e+06	1.11918e+09
1.34896e+14	4.80366e+20	4.26545e+08	3.96942e+11	8.39263e+15	9.77202e+05	6.05062e+08
1.34896e+14	5.56442e+20	3.49457e+08	4.19088e+11	9.16611e+15	3.64355e+05	2.78524e+08
1.34896e+14	6.43097e+20	2.87308e+08	4.39578e+11	9.98152e+15	1.16283e+05	1.09062e+08
1.34896e+14	7.41646e+20	2.28523e+08	4.41251e+11	1.08618e+16	3.18061e+04	3.63755e+07
1.34896e+14	8.53443e+20	1.70166e+08	4.10202e+11	1.18301e+16	7.42980e+03	1.03009e+07
1.34896e+14	9.80097e+20	1.16665e+08	3.46439e+11	1.28863e+16	1.46708e+03	2.45116e+06
1.34896e+14	1.12345e+21	7.35048e+07	2.64848e+11	1.39592e+16	2.39392e+02	4.79093e+05
1.34896e+14	1.28565e+21	4.24986e+07	1.83579e+11	1.48513e+16	3.13852e+01	7.48669e+04
1.34896e+14	1.46907e+21	2.27908e+07	1.17386e+11	1.52260e+16	3.29706e+00	9.34255e+03
1.34896e+14	1.67641e+21	1.17003e+07	7.16534e+10	1.47132e+16	2.93447e-01	9.84844e+02
1.34896e+14	1.91065e+21	5.89963e+06	4.28062e+10	1.31342e+16	2.40813e-02	9.54403e+01
1.34896e+14	2.17547e+21	2.97032e+06	2.54138e+10	1.07032e+16	1.96550e-03	9.17247e+00
1.34896e+14	2.47491e+21	1.50696e+06	1.51321e+10	7.96696e+15	1.67664e-04	9.18899e-01
1.34896e+14	2.81357e+21	7.73819e+05	9.08116e+09	5.49510e+15	1.53620e-05	9.86389e-02
1.34896e+14	3.19687e+21	4.03039e+05	5.50958e+09	3.60975e+15	1.53483e-06	1.15215e-02
1.34896e+14	3.63110e+21	2.12954e+05	3.38229e+09	2.30586e+15	1.68084e-07	1.47241e-03
1.34896e+14	4.12340e+21	1.14142e+05	2.10223e+09	1.46004e+15	2.01638e-08	2.05797e-04
1.34896e+14	4.68198e+21	6.20788e+04	1.32376e+09	9.30301e+14	2.63570e-09	3.12993e-05
1.34896e+14	5.31641e+21	3.42499e+04	8.44498e+08	6.00749e+14	3.76540e-10	5.12593e-06
1.34896e+14	6.03766e+21	1.91620e+04	5.45752e+08	3.94985e+14	5.64707e-11	8.91855e-07
1.34896e+14	6.85846e+21	1.08647e+04	3.57167e+08	2.65113e+14	8.86495e-12	1.62247e-07
1.34896e+14	7.79357e+21	6.23679e+03	2.36536e+08	1.81701e+14	1.21128e-13	3.03203e-08
