    WAVE    FLUX    ERROR   CONT
    1145.779260    6.83473e-15    1.04611e-15    6.94626e-15
    1145.809170    7.67325e-15    1.09396e-15    6.94463e-15
    1145.839080    7.49858e-15    1.08400e-15    6.94298e-15
    1145.868990    5.92984e-15    9.94302e-16    6.94131e-15
    1145.898900    6.55919e-15    1.01454e-15    6.93964e-15
    1145.928810    4.94432e-15    9.50866e-16    6.93795e-15
    1145.958720    8.39162e-15    1.13795e-15    6.93625e-15
    1145.988630    8.54962e-15    1.16423e-15    6.93454e-15
    1146.018540    7.42582e-15    1.08165e-15    6.93281e-15
    1146.048450    6.48518e-15    1.01263e-15    6.93108e-15
