#depth	Te	cC/dT	dt/dr	d^2T/dr^2
6.31687e+25	4.1657e+03	-4.68e-37	-1.33e-21	1.46e-44
6.32358e+25	4.0305e+03	-4.84e-37	-1.78e-21	-6.00e-45
6.33077e+25	3.9420e+03	-4.95e-37	-1.30e-21	7.03e-45
6.33857e+25	3.7985e+03	-5.13e-37	-1.63e-21	-3.65e-45
6.34649e+25	3.7344e+03	-5.22e-37	-9.15e-22	1.01e-44
6.35455e+25	3.6079e+03	-5.38e-37	-1.39e-21	-5.19e-45
6.36301e+25	3.5435e+03	-5.47e-37	-8.27e-22	7.19e-45
6.37198e+25	3.4273e+03	-5.63e-37	-1.15e-21	-3.14e-45
6.38154e+25	3.3616e+03	-5.73e-37	-7.32e-22	4.61e-45
6.39186e+25	3.2518e+03	-5.89e-37	-9.41e-22	-1.80e-45
6.40288e+25	3.1880e+03	-5.99e-37	-6.15e-22	3.15e-45
6.41479e+25	3.0844e+03	-6.14e-37	-7.69e-22	-1.15e-45
6.42754e+25	3.0209e+03	-6.24e-37	-5.28e-22	2.00e-45
6.44138e+25	2.9218e+03	-6.40e-37	-6.34e-22	-6.76e-46
6.45631e+25	2.8601e+03	-6.50e-37	-4.34e-22	1.41e-45
6.46990e+25	2.8076e+03	-6.59e-37	-4.05e-22	2.20e-46
6.48479e+25	2.7250e+03	-6.72e-37	-4.91e-22	-5.09e-46
6.50087e+25	2.6719e+03	-6.81e-37	-3.47e-22	9.38e-46
6.51848e+25	2.5901e+03	-6.94e-37	-4.11e-22	-3.19e-46
6.53750e+25	2.5361e+03	-7.03e-37	-2.98e-22	6.21e-46
6.55481e+25	2.4906e+03	-7.11e-37	-2.76e-22	1.34e-46
6.57377e+25	2.4197e+03	-7.23e-37	-3.30e-22	-2.53e-46
