#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000268	F	F	                  ok	0	738	-4.960000	0.300000	-4.960000, 0.300000
000000269	F	F	                  ok	5	449	-4.960000	0.350000	-4.960000, 0.350000
000000270	F	F	                  ok	2	1593	-4.960000	0.400000	-4.960000, 0.400000
000000271	F	F	                  ok	0	1984	-4.960000	0.450000	-4.960000, 0.450000
000000272	F	F	                  ok	1	1496	-4.960000	0.500000	-4.960000, 0.500000
000000273	F	F	                  ok	4	792	-4.960000	0.550000	-4.960000, 0.550000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000275	F	F	                  ok	10	1021	-4.960000	0.650000	-4.960000, 0.650000
000000276	F	F	                  ok	4	111	-4.960000	0.700000	-4.960000, 0.700000
000000277	F	F	                  ok	11	258	-4.960000	0.750000	-4.960000, 0.750000
000000278	F	F	                  ok	5	613	-4.960000	0.800000	-4.960000, 0.800000
000000279	F	F	                  ok	3	459	-4.960000	0.850000	-4.960000, 0.850000
000000280	F	F	                  ok	11	129	-4.960000	0.900000	-4.960000, 0.900000
000000281	F	F	                  ok	2	48	-4.960000	0.950000	-4.960000, 0.950000
000000282	F	F	                  ok	7	304	-4.960000	1.000000	-4.960000, 1.000000
000000283	F	F	                  ok	5	1227	-4.960000	1.050000	-4.960000, 1.050000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000285	F	F	                  ok	3	1793	-4.960000	1.150000	-4.960000, 1.150000
000000286	F	F	                  ok	9	445	-4.960000	1.200000	-4.960000, 1.200000
000000287	F	F	                  ok	1	242	-4.960000	1.250000	-4.960000, 1.250000
000000288	F	F	                  ok	5	1679	-4.960000	1.300000	-4.960000, 1.300000
000000289	F	F	                  ok	10	1621	-4.960000	1.350000	-4.960000, 1.350000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000291	F	F	                  ok	5	291	-4.960000	1.450000	-4.960000, 1.450000
000000292	F	F	                  ok	1	781	-4.960000	1.500000	-4.960000, 1.500000
000000293	F	F	                  ok	2	1929	-4.960000	1.550000	-4.960000, 1.550000
000000294	F	F	                  ok	1	1360	-4.960000	1.600000	-4.960000, 1.600000
000000295	F	F	                  ok	8	1649	-4.960000	1.650000	-4.960000, 1.650000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000297	F	F	                  ok	7	839	-4.960000	1.750000	-4.960000, 1.750000
000000298	F	F	                  ok	8	862	-4.960000	1.800000	-4.960000, 1.800000
000000299	F	F	                  ok	10	1144	-4.960000	1.850000	-4.960000, 1.850000
000000300	F	F	                  ok	4	707	-4.960000	1.900000	-4.960000, 1.900000
000000301	F	F	                  ok	4	73	-4.960000	1.950000	-4.960000, 1.950000
000000302	F	F	                  ok	11	957	-4.960000	2.000000	-4.960000, 2.000000
000000303	F	F	                  ok	3	1923	-4.940000	-3.000000	-4.940000, -3.000000
000000304	F	F	                  ok	5	491	-4.940000	-2.950000	-4.940000, -2.950000
000000305	F	F	                  ok	10	455	-4.940000	-2.900000	-4.940000, -2.900000
000000306	F	F	                  ok	2	644	-4.940000	-2.850000	-4.940000, -2.850000
000000307	F	F	                  ok	1	1393	-4.940000	-2.800000	-4.940000, -2.800000
000000308	F	F	                  ok	4	397	-4.940000	-2.750000	-4.940000, -2.750000
000000309	F	F	                  ok	8	2046	-4.940000	-2.700000	-4.940000, -2.700000
000000310	F	F	                  ok	4	827	-4.940000	-2.650000	-4.940000, -2.650000
000000311	F	F	                  ok	10	1383	-4.940000	-2.600000	-4.940000, -2.600000
000000312	F	F	                  ok	2	296	-4.940000	-2.550000	-4.940000, -2.550000
000000313	F	F	                  ok	5	1760	-4.940000	-2.500000	-4.940000, -2.500000
000000314	F	F	                  ok	5	1455	-4.940000	-2.450000	-4.940000, -2.450000
000000315	F	F	                  ok	8	1473	-4.940000	-2.400000	-4.940000, -2.400000
000000316	F	F	                  ok	1	1877	-4.940000	-2.350000	-4.940000, -2.350000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000318	F	F	                  ok	3	938	-4.940000	-2.250000	-4.940000, -2.250000
000000319	F	F	                  ok	5	272	-4.940000	-2.200000	-4.940000, -2.200000
000000320	F	F	                  ok	5	365	-4.940000	-2.150000	-4.940000, -2.150000
000000321	F	F	                  ok	0	2097	-4.940000	-2.100000	-4.940000, -2.100000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

