# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100020491	VVDS-J100513.09+010202.0	151.304554	1.0338998	0.6010	2	21.8854	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.8854	0.0345
100020513	VVDS-J100529.96+010201.7	151.374857	1.0338119	0.4831	2	21.9554	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.9554	0.0248
100020540	VVDS-J100747.64+010152.9	151.948503	1.0313736	0.5654	1	19.9189	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	19.9189	0.0098
100020650	VVDS-J100306.17+010205.1	150.77574	1.034762	0.7855	2	21.8543	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.8543	0.0367
100020698	VVDS-J100533.69+010203.3	151.390383	1.034271	0.0706	9	21.7074	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7074	0.0215
100020744	VVDS-J100616.80+010204.0	151.570018	1.0344554	0.1790	3	22.1826	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1826	0.0318
100020772	VVDS-J100349.44+010206.9	150.956	1.0352774	0.7520	2	22.0788	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.0788	0.0444
100020790	VVDS-J100525.99+010147.7	151.358323	1.0299207	0.3552	3	20.1655	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.1655	0.0079
100020840	VVDS-J100729.72+010206.0	151.87384	1.0350001	0.5377	2	22.2394	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2394	0.0549
100020851	VVDS-J100633.20+010204.2	151.638343	1.0345217	0.4698	3	20.9609	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.9609	0.0155
100020926	VVDS-J100444.28+010207.9	151.18451	1.0355534	0.2213	1	22.1668	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1668	0.0532
100020956	VVDS-J100629.25+010206.9	151.621898	1.0352659	0.4501	3	21.6024	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.6024	0.0229
100020983	VVDS-J100412.36+010210.5	151.051528	1.0362542	9.9999	0	21.9968	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	21.9968	0.0405
100021158	VVDS-J100357.05+010212.0	150.987748	1.0366827	9.9999	0	22.1178	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1178	0.028
100021188	VVDS-J100749.45+010208.5	151.956066	1.0356966	0.4343	2	20.6096	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.6096	0.013
100021197	VVDS-J100709.64+010212.4	151.790168	1.0367817	0.3658	4	22.1182	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	22.1182	0.046
100021354	VVDS-J100451.06+010210.5	151.212788	1.0362607	0.1230	3	20.9578	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.9578	0.0181
