# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
158489000000000.0 1.50464e+16 650953000000.0 1613190000000.0 31979600000.0 12728400.0 0.0 95261800000.0 151966000000.0 27061700000.0 -2.42 [-2.42]
158489000000000.0 1.43276e+16 642295000000.0 1517470000000.0 27942600000.0 9852290.0 0.0 94839600000.0 142471000000.0 24284400000.0 -2.4 [-2.4]
158489000000000.0 1.36436e+16 633416000000.0 1426710000000.0 24393200000.0 7609030.0 0.0 94314300000.0 133394000000.0 21769200000.0 -2.38 [-2.38]
158489000000000.0 1.29928e+16 624327000000.0 1340690000000.0 21275400000.0 5863510.0 0.0 93687600000.0 124731000000.0 19494300000.0 -2.36 [-2.36]
158489000000000.0 1.23733e+16 615037000000.0 1259200000000.0 18539500000.0 4508570.0 0.0 92961900000.0 116477000000.0 17439700000.0 -2.34 [-2.34]
158489000000000.0 1.17821e+16 605531000000.0 1181830000000.0 16135900000.0 3457500.0 0.0 92138000000.0 108602000000.0 15581800000.0 -2.32 [-2.32]
158489000000000.0 1.12211e+16 595876000000.0 1108850000000.0 14035900000.0 2647190.0 0.0 91222200000.0 101148000000.0 13912500000.0 -2.3 [-2.3]
158489000000000.0 1.06886e+16 586089000000.0 1040020000000.0 12202600000.0 2023660.0 0.0 90218800000.0 94103600000.0 12414400000.0 -2.28 [-2.28]
158489000000000.0 1.01803e+16 576121000000.0 974778000000.0 10596200000.0 1543120.0 0.0 89126000000.0 87416600000.0 11064500000.0 -2.26 [-2.26]
158489000000000.0 9696300000000000.0 566014000000.0 913141000000.0 9193230000.0 1174380.0 0.0 87951600000.0 81097700000.0 9852840000.0 -2.24 [-2.24]
158489000000000.0 9235530000000000.0 555779000000.0 854945000000.0 7969190000.0 892056.0 0.0 86700100000.0 75136200000.0 8766500000.0 -2.22 [-2.22]
158489000000000.0 8796820000000000.0 545431000000.0 800029000000.0 6902250000.0 676361.0 0.0 85376000000.0 69521200000.0 7793610000.0 -2.2 [-2.2]
158489000000000.0 8377730000000000.0 534945000000.0 748071000000.0 5970870000.0 511618.0 0.0 83980100000.0 64222900000.0 6920990000.0 -2.18 [-2.18]
158489000000000.0 7980030000000000.0 524408000000.0 699265000000.0 5162830000.0 386578.0 0.0 82525500000.0 59267200000.0 6143540000.0 -2.16 [-2.16]
158489000000000.0 7601340000000000.0 513797000000.0 653294000000.0 4460500000.0 291632.0 0.0 81013400000.0 54622600000.0 5449560000.0 -2.14 [-2.14]
158489000000000.0 7240740000000000.0 503127000000.0 610020000000.0 3850660000.0 0.0 0.0 79449300000.0 50277100000.0 4830730000.0 -2.12 [-2.12]
158489000000000.0 6897380000000000.0 492412000000.0 569310000000.0 3321610000.0 0.0 0.0 77838600000.0 46218100000.0 4279470000.0 -2.1 [-2.1]
