#depth	Te	cC/dT	dt/dr	d^2T/dr^2
2.44053e+25	2.6972e+04	1.06e-37	-1.72e-23	2.32e-48
2.67303e+25	2.6920e+04	1.06e-37	-2.37e-23	-2.93e-48
2.88336e+25	2.6887e+04	1.06e-37	-1.67e-23	3.51e-48
3.07352e+25	2.6850e+04	1.06e-37	-2.01e-23	-1.89e-48
3.24536e+25	2.6826e+04	1.06e-37	-1.52e-23	3.01e-48
3.40057e+25	2.6797e+04	1.06e-37	-1.93e-23	-2.81e-48
3.54070e+25	2.6779e+04	1.06e-37	-1.34e-23	4.47e-48
3.66717e+25	2.6757e+04	1.06e-37	-1.84e-23	-4.19e-48
3.78127e+25	2.6745e+04	1.06e-37	-1.19e-23	6.03e-48
3.88419e+25	2.6726e+04	1.06e-37	-1.85e-23	-6.76e-48
3.97701e+25	2.6714e+04	1.06e-37	-1.37e-23	5.39e-48
4.06068e+25	2.6704e+04	1.06e-37	-1.30e-23	9.38e-49
4.13611e+25	2.6694e+04	1.06e-37	-1.41e-23	-1.57e-48
4.20409e+25	2.6681e+04	1.06e-37	-2.06e-23	-1.01e-47
4.26534e+25	2.6677e+04	1.06e-37	-6.72e-24	2.39e-47
4.32054e+25	2.6667e+04	1.06e-37	-1.86e-23	-2.26e-47
4.37166e+25	2.6663e+04	1.06e-37	-8.98e-24	1.92e-47
4.42161e+25	2.6650e+04	1.06e-37	-2.52e-23	-3.24e-47
4.47159e+25	2.6648e+04	1.06e-37	-3.59e-24	4.32e-47
4.52161e+25	2.6633e+04	1.06e-37	-3.09e-23	-5.45e-47
4.57165e+25	2.6636e+04	1.06e-37	6.69e-24	7.50e-47
4.62173e+25	2.6611e+04	1.06e-37	-5.09e-23	-1.15e-46
4.67184e+25	2.6610e+04	1.06e-37	-8.40e-25	1.00e-46
4.72196e+25	2.6604e+04	1.06e-37	-1.28e-23	-2.38e-47
4.77213e+25	2.6602e+04	1.06e-37	-4.31e-24	1.69e-47
4.80838e+25	2.6604e+04	1.06e-37	1.11e-23	6.88e-47
4.80838e+25	2.6604e+04	1.06e-37	1.11e-23	0.00e+00
5.14386e+22	2.7977e+04	1.19e-37
3.08631e+23	2.7796e+04	1.19e-37	-4.39e-22
1.33740e+24	2.7457e+04	1.19e-37	-2.06e-22	1.42e-46
4.13408e+24	2.7157e+04	1.19e-37	-7.62e-23	3.28e-47
7.88241e+24	2.6941e+04	1.18e-37	-6.08e-23	4.33e-48
1.12749e+25	2.6805e+04	1.18e-37	-4.20e-23	5.82e-48
1.43633e+25	2.6709e+04	1.18e-37	-3.26e-23	3.21e-48
1.71690e+25	2.6635e+04	1.17e-37	-2.77e-23	1.84e-48
1.97143e+25	2.6574e+04	1.17e-37	-2.52e-23	1.03e-48
2.20208e+25	2.6534e+04	1.17e-37	-1.84e-23	3.08e-48
2.41093e+25	2.6482e+04	1.17e-37	-2.63e-23	-3.98e-48
2.59985e+25	2.6449e+04	1.17e-37	-1.79e-23	4.70e-48
2.77065e+25	2.6414e+04	1.17e-37	-2.19e-23	-2.50e-48
2.92498e+25	2.6390e+04	1.17e-37	-1.64e-23	3.76e-48
3.06438e+25	2.6362e+04	1.17e-37	-2.13e-23	-3.69e-48
3.19022e+25	2.6344e+04	1.17e-37	-1.43e-23	5.86e-48
3.30380e+25	2.6322e+04	1.17e-37	-2.04e-23	-5.68e-48
3.40627e+25	2.6310e+04	1.17e-37	-1.23e-23	8.37e-48
3.49869e+25	2.6292e+04	1.17e-37	-2.11e-23	-1.01e-47
3.58204e+25	2.6282e+04	1.17e-37	-1.28e-23	1.06e-47
3.65717e+25	2.6270e+04	1.17e-37	-1.70e-23	-5.91e-48
3.72491e+25	2.6262e+04	1.17e-37	-1.27e-23	6.61e-48
3.78595e+25	2.6247e+04	1.17e-37	-2.45e-23	-2.04e-47
3.84095e+25	2.6247e+04	1.17e-37	-2.61e-25	4.66e-47
3.89051e+25	2.6232e+04	1.17e-37	-3.15e-23	-6.64e-47
3.93647e+25	2.6236e+04	1.17e-37	7.16e-24	8.59e-47
3.98143e+25	2.6211e+04	1.17e-37	-5.44e-23	-1.37e-46
4.02641e+25	2.6210e+04	1.17e-37	-1.65e-24	1.17e-46
4.07142e+25	2.6205e+04	1.17e-37	-1.25e-23	-2.41e-47
4.11646e+25	2.6199e+04	1.17e-37	-1.20e-23	1.08e-48
4.16153e+25	2.6185e+04	1.17e-37	-3.21e-23	-4.47e-47
4.20662e+25	2.6188e+04	1.17e-37	7.47e-24	8.78e-47
4.25174e+25	2.6164e+04	1.17e-37	-5.31e-23	-1.34e-46
4.29689e+25	2.6164e+04	1.17e-37	-1.62e-24	1.14e-46
4.32901e+25	2.6174e+04	1.17e-37	5.38e-23	2.90e-46
