# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.25892e+16 1.72238e+18 98413700000000.0 354422000000000.0 12503400000000.0 14441200000.0 196082000.0 19024500000000.0 27354000000000.0 8553020000000.0 -2.62 3.932 [-2.62]
1.25892e+16 1.63991e+18 97551100000000.0 334739000000000.0 11030400000000.0 11446700000.0 150734000.0 19038400000000.0 25682500000000.0 7727680000000.0 -2.6 3.93 [-2.6]
1.25892e+16 1.5614e+18 96643600000000.0 315977000000000.0 9721250000000.0 9052230000.0 115708000.0 19024300000000.0 24069400000000.0 6973250000000.0 -2.58 3.928 [-2.58]
1.25892e+16 1.48664e+18 95692000000000.0 298104000000000.0 8558940000000.0 7141860000.0 0.0 18982600000000.0 22516600000000.0 6284770000000.0 -2.56 3.925 [-2.56]
1.25892e+16 1.41546e+18 94697500000000.0 281085000000000.0 7527990000000.0 5621310000.0 0.0 18913700000000.0 21025400000000.0 5657480000000.0 -2.54 3.923 [-2.54]
1.25892e+16 1.34769e+18 93661600000000.0 264892000000000.0 6614630000000.0 4414040000.0 0.0 18817800000000.0 19597600000000.0 5086960000000.0 -2.52 3.921 [-2.52]
1.25892e+16 1.28312e+18 92584800000000.0 249487000000000.0 5805960000000.0 3457560000.0 0.0 18696100000000.0 18232600000000.0 4568660000000.0 -2.5 3.918 [-2.5]
1.25892e+16 1.22163e+18 91468300000000.0 234840000000000.0 5090810000000.0 2701720000.0 0.0 18549100000000.0 16931100000000.0 4098570000000.0 -2.48 3.916 [-2.48]
1.25892e+16 1.16304e+18 90313900000000.0 220923000000000.0 4459050000000.0 2105910000.0 0.0 18377600000000.0 15693300000000.0 3672860000000.0 -2.46 3.914 [-2.46]
1.25892e+16 1.10724e+18 89122800000000.0 207706000000000.0 3901540000000.0 1637440000.0 0.0 18182700000000.0 14518700000000.0 3287880000000.0 -2.44 3.911 [-2.44]
